,BTCUSDT,ETHUSDT,SOLUSDT,EUR_USD,GBP_USD,USD_JPY,XAU_USD,SPX500_USD,NAS100_USD,US30_USD,UK100_GBP,DE30_EUR,JP225_USD
BTCUSDT,1.0,0.8434776692877561,0.5077451752993349,0.0681620007360455,0.12922976962904942,-0.08005799868771563,0.06679855407031404,-0.09727608101887782,-0.11254690076418047,-0.08527903147055775,-0.12016369465063372,-0.09699580941930902,-0.06964966972063921
ETHUSDT,0.8434776692877561,1.0,0.6238502073739427,0.07936479360300146,0.11335458249867052,-0.08026929252292556,0.06921953621526247,-0.07351637146601415,-0.09390749454119583,-0.06158337074008561,-0.09889209965904028,-0.07083620503963285,-0.06687061500673627
SOLUSDT,0.5077451752993349,0.6238502073739427,1.0,-0.022099467239632596,-0.09716034794475777,0.07388363581014079,-0.05307693432915334,-0.09601894062129769,-0.10472249951019119,-0.06809589920751727,-0.09346435344800953,-0.1355229107368217,-0.01235122677998302
EUR_USD,0.0681620007360455,0.07936479360300146,-0.022099467239632596,1.0,0.7042570518521484,-0.49174747790118967,0.38689485408658836,0.26381166214438323,0.24963581696258047,0.23570824799391282,0.11482808396633001,0.20192795603649794,0.11936722771356433
GBP_USD,0.12922976962904942,0.11335458249867052,-0.09716034794475777,0.7042570518521484,1.0,-0.45922137131536717,0.39371768445060557,0.36571244095705185,0.3193185119348932,0.3521418368455222,0.1590197960511925,0.31851855081402314,0.23316973595652898
USD_JPY,-0.08005799868771563,-0.08026929252292556,0.07388363581014079,-0.49174747790118967,-0.45922137131536717,1.0,-0.4072464081024224,0.044559167674077,0.018851272281024824,0.08260749411444131,0.19508566448442072,0.1244075831607314,0.2916782491182106
XAU_USD,0.06679855407031404,0.06921953621526247,-0.05307693432915334,0.38689485408658836,0.39371768445060557,-0.4072464081024224,1.0,0.16249816545092718,0.14842898614577724,0.15016699915836945,0.08460474854549248,0.12788119323903713,0.0506125360613199
SPX500_USD,-0.09727608101887782,-0.07351637146601415,-0.09601894062129769,0.26381166214438323,0.36571244095705185,0.044559167674077,0.16249816545092718,1.0,0.9336147228880066,0.9623894673206828,0.7777819514720734,0.8336663895955274,0.7989035039319025
NAS100_USD,-0.11254690076418047,-0.09390749454119583,-0.10472249951019119,0.24963581696258047,0.3193185119348932,0.018851272281024824,0.14842898614577724,0.9336147228880066,1.0,0.8228289028967907,0.6356398398818188,0.7315058570464956,0.7283671122464906
US30_USD,-0.08527903147055775,-0.06158337074008561,-0.06809589920751727,0.23570824799391282,0.3521418368455222,0.08260749411444131,0.15016699915836945,0.9623894673206828,0.8228289028967907,1.0,0.8255271288913771,0.8470490271151813,0.80050357234326
UK100_GBP,-0.12016369465063372,-0.09889209965904028,-0.09346435344800953,0.11482808396633001,0.1590197960511925,0.19508566448442072,0.08460474854549248,0.7777819514720734,0.6356398398818188,0.8255271288913771,1.0,0.8796233726826062,0.7831664866350442
DE30_EUR,-0.09699580941930902,-0.07083620503963285,-0.1355229107368217,0.20192795603649794,0.31851855081402314,0.1244075831607314,0.12788119323903713,0.8336663895955274,0.7315058570464956,0.8470490271151813,0.8796233726826062,1.0,0.8094268010797752
JP225_USD,-0.06964966972063921,-0.06687061500673627,-0.01235122677998302,0.11936722771356433,0.23316973595652898,0.2916782491182106,0.0506125360613199,0.7989035039319025,0.7283671122464906,0.80050357234326,0.7831664866350442,0.8094268010797752,1.0
