,BTCUSDT,ETHUSDT,SOLUSDT,EUR_USD,GBP_USD,USD_JPY,XAU_USD,SPX500_USD,NAS100_USD,US30_USD,UK100_GBP,DE30_EUR,JP225_USD
BTCUSDT,1.0,0.8343290147381952,0.5845722107274155,0.015565527755126018,0.07291044241433144,-0.03730555018963135,0.017742486477787124,-0.07531925471836799,-0.08471634937657714,-0.06821169179796122,-0.10181030668315592,-0.0700809096941504,-0.06734072828575459
ETHUSDT,0.8343290147381952,1.0,0.6544683736574165,0.02248508286954137,0.06900793195173946,-0.04262219375229248,0.021402965822039703,-0.05285080570551807,-0.06372094880173021,-0.04884197230204628,-0.08868091036073833,-0.046700445818649315,-0.05652225563595437
SOLUSDT,0.5845722107274155,0.6544683736574165,1.0,-0.046624154299209214,-0.07786284572499483,0.060581033860014635,-0.0366724471858923,-0.047802533468503626,-0.05595057393226353,-0.02931968853446327,-0.05771936196856178,-0.053848553988116235,-0.001578150124777522
EUR_USD,0.015565527755126018,0.02248508286954137,-0.046624154299209214,1.0,0.7378947515423865,-0.5167094724225256,0.3981887658908636,0.20305535837236252,0.1921395331338904,0.17998981904831737,0.0983923435303584,0.16095215210033753,0.06668006003573262
GBP_USD,0.07291044241433144,0.06900793195173946,-0.07786284572499483,0.7378947515423865,1.0,-0.46027698626884783,0.39607371007256115,0.32972355314472446,0.2949381741080011,0.3078080393624301,0.13186593660789325,0.2910081198314518,0.19706646842265416
USD_JPY,-0.03730555018963135,-0.04262219375229248,0.060581033860014635,-0.5167094724225256,-0.46027698626884783,1.0,-0.37094715010815177,0.05848882955611745,0.0431883261353161,0.07154038761580982,0.12309076031231697,0.08664249725163921,0.3126840123478578
XAU_USD,0.017742486477787124,0.021402965822039703,-0.0366724471858923,0.3981887658908636,0.39607371007256115,-0.37094715010815177,1.0,0.15196065910626277,0.14529309365237514,0.14541618933072015,0.12495432132506683,0.1345918581425447,0.09945977927552055
SPX500_USD,-0.07531925471836799,-0.05285080570551807,-0.047802533468503626,0.20305535837236252,0.32972355314472446,0.05848882955611745,0.15196065910626277,1.0,0.9382925232192043,0.9407532730217203,0.7315102171272614,0.8087610952256612,0.742120333064425
NAS100_USD,-0.08471634937657714,-0.06372094880173021,-0.05595057393226353,0.1921395331338904,0.2949381741080011,0.0431883261353161,0.14529309365237514,0.9382925232192043,1.0,0.7976185220925085,0.5905244316074272,0.7167651596262377,0.7044063088632214
US30_USD,-0.06821169179796122,-0.04884197230204628,-0.02931968853446327,0.17998981904831737,0.3078080393624301,0.07154038761580982,0.14541618933072015,0.9407532730217203,0.7976185220925085,1.0,0.7813679397340159,0.8104657401960119,0.7068862584600901
UK100_GBP,-0.10181030668315592,-0.08868091036073833,-0.05771936196856178,0.0983923435303584,0.13186593660789325,0.12309076031231697,0.12495432132506683,0.7315102171272614,0.5905244316074272,0.7813679397340159,1.0,0.8331132172271759,0.6493250366550606
DE30_EUR,-0.0700809096941504,-0.046700445818649315,-0.053848553988116235,0.16095215210033753,0.2910081198314518,0.08664249725163921,0.1345918581425447,0.8087610952256612,0.7167651596262377,0.8104657401960119,0.8331132172271759,1.0,0.7150327757297186
JP225_USD,-0.06734072828575459,-0.05652225563595437,-0.001578150124777522,0.06668006003573262,0.19706646842265416,0.3126840123478578,0.09945977927552055,0.742120333064425,0.7044063088632214,0.7068862584600901,0.6493250366550606,0.7150327757297186,1.0
