a,b,lag,direction,corr,n
BTCUSDT,ETHUSDT,0,contemp,0.8416355736493002,56009
BTCUSDT,ETHUSDT,1,ETHUSDT_leads_BTCUSDT,-0.008424680955589093,56008
BTCUSDT,ETHUSDT,1,BTCUSDT_leads_ETHUSDT,-0.01301440105433388,56008
BTCUSDT,ETHUSDT,2,ETHUSDT_leads_BTCUSDT,-0.012692556656646944,56007
BTCUSDT,ETHUSDT,2,BTCUSDT_leads_ETHUSDT,-0.017534117885134773,56007
BTCUSDT,ETHUSDT,3,ETHUSDT_leads_BTCUSDT,-0.00029609518819537776,56006
BTCUSDT,ETHUSDT,3,BTCUSDT_leads_ETHUSDT,-0.0004410414037283796,56006
BTCUSDT,ETHUSDT,6,ETHUSDT_leads_BTCUSDT,-0.0038095164147041653,56003
BTCUSDT,ETHUSDT,6,BTCUSDT_leads_ETHUSDT,0.002964214537728637,56003
BTCUSDT,ETHUSDT,24,ETHUSDT_leads_BTCUSDT,-0.031053723967102806,55985
BTCUSDT,ETHUSDT,24,BTCUSDT_leads_ETHUSDT,-0.033314751658326494,55985
BTCUSDT,SOLUSDT,0,contemp,0.6298196955419529,50665
BTCUSDT,SOLUSDT,1,SOLUSDT_leads_BTCUSDT,0.006019308652824043,50664
BTCUSDT,SOLUSDT,1,BTCUSDT_leads_SOLUSDT,-0.01830634420592911,50664
BTCUSDT,SOLUSDT,2,SOLUSDT_leads_BTCUSDT,-0.002498997019555234,50663
BTCUSDT,SOLUSDT,2,BTCUSDT_leads_SOLUSDT,-0.022273432271072712,50663
BTCUSDT,SOLUSDT,3,SOLUSDT_leads_BTCUSDT,0.003999412637207299,50662
BTCUSDT,SOLUSDT,3,BTCUSDT_leads_SOLUSDT,-0.01362337000950784,50662
BTCUSDT,SOLUSDT,6,SOLUSDT_leads_BTCUSDT,-0.005398817781997314,50659
BTCUSDT,SOLUSDT,6,BTCUSDT_leads_SOLUSDT,8.000910324052883e-07,50659
BTCUSDT,SOLUSDT,24,SOLUSDT_leads_BTCUSDT,-0.020448190481603745,50641
BTCUSDT,SOLUSDT,24,BTCUSDT_leads_SOLUSDT,-0.031131548070883287,50641
SPX500_USD,NAS100_USD,0,contemp,0.9324960794615649,36037
SPX500_USD,NAS100_USD,1,NAS100_USD_leads_SPX500_USD,-0.007625189757538269,36036
