,EVE_XAU,WED_BTC,WED_ETH,WED_SOL,D1REV_NAS,D1REV_UK,D1REV_SPX,TSMOM,XSMOM,VOLMGD,RISKPAR
EVE_XAU,1.0,-0.02,-0.04,-0.02,-0.04,0.0,-0.04,0.1,0.02,-0.02,0.01
WED_BTC,-0.02,1.0,0.85,0.55,0.03,0.02,0.0,0.16,-0.07,0.3,0.33
WED_ETH,-0.04,0.85,1.0,0.63,0.02,-0.01,-0.01,0.14,-0.09,0.31,0.33
WED_SOL,-0.02,0.55,0.63,1.0,-0.04,0.07,0.02,0.1,-0.14,0.19,0.24
D1REV_NAS,-0.04,0.03,0.02,-0.04,1.0,0.43,0.8,-0.12,0.09,-0.02,-0.04
D1REV_UK,0.0,0.02,-0.01,0.07,0.43,1.0,0.55,-0.06,0.0,0.0,0.04
D1REV_SPX,-0.04,0.0,-0.01,0.02,0.8,0.55,1.0,-0.1,0.07,0.02,-0.0
TSMOM,0.1,0.16,0.14,0.1,-0.12,-0.06,-0.1,1.0,0.13,0.24,0.35
XSMOM,0.02,-0.07,-0.09,-0.14,0.09,0.0,0.07,0.13,1.0,-0.04,-0.03
VOLMGD,-0.02,0.3,0.31,0.19,-0.02,0.0,0.02,0.24,-0.04,1.0,0.92
RISKPAR,0.01,0.33,0.33,0.24,-0.04,0.04,-0.0,0.35,-0.03,0.92,1.0
