drop,oos_sh,delta,2022_sh
RISKPAR,2.985882539669952,0.015265197590653923,2.9682483256889287
TREND_NEW,3.0664669425761577,0.09584960049685964,2.439037276247505
EVE_XAU,2.2847577302501225,-0.6858596118291755,2.5955338336050504
D1REV_UK,2.9954634232843587,0.0248460812050606,2.2466176343144393
XSMOM,2.8233117529731904,-0.1473055891061077,2.2540738811761702
D1REV_NAS,2.980598620632168,0.009981278552869899,2.1885995106051417
WED_BTC,2.9103228763422413,-0.06029446573705677,2.5141507756791523
DEFEND,2.979812291584047,0.009194949504748973,2.5888325769203404
PAIRS_EXP,2.9696566911055173,-0.0009606509737807301,2.0122465805876883
VOLFORECAST,2.870070034242597,-0.10054730783670118,2.521813740114575
H4_SLEEVE,2.864536403002429,-0.10608093907686911,0.9103907542612046
CRYPTO_vs_SPX,2.980708450661614,0.0100911085823161,2.359534131948006
