symbol,A_FULL_sharpe,A_FULL_ret,A_FULL_vol,A_FULL_dd,B_FULL_sharpe,B_FULL_ret,B_FULL_vol,B_FULL_dd,BL_FULL_sharpe,BL_FULL_ret,BL_FULL_vol,BL_FULL_dd,A_IS_sharpe,A_IS_ret,A_IS_vol,A_IS_dd,B_IS_sharpe,B_IS_ret,B_IS_vol,B_IS_dd,BL_IS_sharpe,BL_IS_ret,BL_IS_vol,BL_IS_dd,A_OOS_sharpe,A_OOS_ret,A_OOS_vol,A_OOS_dd,B_OOS_sharpe,B_OOS_ret,B_OOS_vol,B_OOS_dd,BL_OOS_sharpe,BL_OOS_ret,BL_OOS_vol,BL_OOS_dd
BTCUSDT,0.8232,0.0934,0.1135,-0.2092,-0.0245,-0.0010,0.0401,-0.0842,0.9162,0.5602,0.6114,-0.7663,0.8987,0.1038,0.1155,-0.2092,-0.1218,-0.0053,0.0434,-0.0842,1.0016,0.6780,0.6769,-0.7663,0.6913,0.0760,0.1099,-0.1565,0.1827,0.0062,0.0340,-0.0450,0.7531,0.3634,0.4825,-0.4953
ETHUSDT,0.9025,0.1000,0.1108,-0.1784,-0.6261,-0.0201,0.0321,-0.1607,0.9480,0.7770,0.8196,-0.7930,1.1979,0.1329,0.1110,-0.1784,-0.3421,-0.0101,0.0295,-0.0698,1.2620,1.1169,0.8851,-0.7930,0.4066,0.0449,0.1104,-0.1305,-1.0225,-0.0368,0.0360,-0.1093,0.3002,0.2088,0.6956,-0.6375
SOLUSDT,0.9350,0.1018,0.1089,-0.2297,-0.3008,-0.0112,0.0373,-0.1353,1.0600,1.2378,1.1678,-0.9627,1.2631,0.1404,0.1111,-0.2297,-0.5140,-0.0202,0.0394,-0.1203,1.4161,1.9274,1.3610,-0.9627,0.4475,0.0472,0.1056,-0.1393,0.0462,0.0016,0.0340,-0.0560,0.3208,0.2621,0.8172,-0.7026
EUR_USD,0.1702,0.0214,0.1260,-0.2972,-0.1086,-0.0043,0.0394,-0.0633,0.1371,0.0123,0.0898,-0.2218,0.0899,0.0113,0.1254,-0.2972,0.2162,0.0084,0.0390,-0.0560,0.0006,0.0001,0.0936,-0.2218,0.3031,0.0384,0.1269,-0.1282,-0.6377,-0.0256,0.0401,-0.0632,0.3954,0.0328,0.0830,-0.0848
GBP_USD,-0.1109,-0.0139,0.1258,-0.3047,0.3183,0.0141,0.0444,-0.1284,0.0989,0.0104,0.1056,-0.2482,-0.3702,-0.0468,0.1264,-0.3047,0.0548,0.0024,0.0430,-0.1284,-0.0353,-0.0041,0.1174,-0.2482,0.3292,0.0410,0.1247,-0.1261,0.7257,0.0338,0.0466,-0.0478,0.4253,0.0349,0.0820,-0.0929
USD_JPY,0.9189,0.1212,0.1319,-0.1591,-0.0188,-0.0009,0.0462,-0.1371,0.7946,0.0908,0.1142,-0.1485,1.0876,0.1444,0.1328,-0.1479,0.2059,0.0093,0.0450,-0.0774,0.8760,0.0982,0.1121,-0.1485,0.6310,0.0822,0.1302,-0.1591,-0.3715,-0.0179,0.0481,-0.0851,0.6652,0.0783,0.1177,-0.1305
XAU_USD,1.4079,0.1865,0.1324,-0.1641,0.0508,0.0021,0.0413,-0.0583,1.2452,0.2616,0.2101,-0.2135,0.5648,0.0739,0.1309,-0.1641,-0.0930,-0.0038,0.0406,-0.0470,0.6688,0.1228,0.1836,-0.2135,2.7876,0.3747,0.1344,-0.0734,0.2809,0.0119,0.0424,-0.0435,1.9937,0.4938,0.2477,-0.1920
SPX500_USD,0.7845,0.1039,0.1325,-0.1539,0.4175,0.0233,0.0557,-0.0894,0.8835,0.2119,0.2399,-0.3442,0.5570,0.0721,0.1295,-0.1539,0.5658,0.0260,0.0460,-0.0448,0.6383,0.1701,0.2665,-0.3442,1.1448,0.1571,0.1373,-0.1324,0.2700,0.0186,0.0689,-0.0840,1.5074,0.2819,0.1870,-0.1891
NAS100_USD,1.0245,0.1326,0.1294,-0.1589,0.5951,0.0289,0.0486,-0.0505,1.0439,0.3087,0.2957,-0.3558,0.8971,0.1127,0.1256,-0.1589,0.3412,0.0139,0.0408,-0.0450,0.8642,0.2776,0.3212,-0.3558,1.2242,0.1658,0.1354,-0.1221,0.9100,0.0540,0.0593,-0.0505,1.4591,0.3608,0.2473,-0.2285
US30_USD,0.5295,0.0695,0.1312,-0.1709,0.2211,0.0109,0.0494,-0.0824,0.6501,0.1503,0.2312,-0.3707,0.2370,0.0309,0.1303,-0.1709,0.5809,0.0272,0.0468,-0.0593,0.4912,0.1276,0.2597,-0.3707,1.0107,0.1340,0.1326,-0.1199,-0.3060,-0.0163,0.0534,-0.0824,1.0871,0.1883,0.1732,-0.1654
