rule,rebalance,n,sleeves
WF_TOP7,2021-01-01 00:00:00+00:00,7,"RISKPAR,TSMOM,EVE_XAU,WED_BTC,D1REV_UK,VOLMGD,XSMOM"
WF_TOP7,2021-02-01 00:00:00+00:00,7,"RISKPAR,TSMOM,WED_BTC,EVE_XAU,D1REV_UK,VOLMGD,D1REV_NAS"
WF_TOP7,2021-03-01 00:00:00+00:00,7,"RISKPAR,TSMOM,WED_BTC,VOLMGD,D1REV_UK,WED_ETH,EVE_XAU"
WF_TOP7,2021-04-01 00:00:00+00:00,7,"RISKPAR,VOLMGD,TSMOM,WED_BTC,WED_ETH,EVE_XAU,D1REV_NAS"
WF_TOP7,2021-05-01 00:00:00+00:00,7,"RISKPAR,VOLMGD,TSMOM,EVE_XAU,WED_BTC,WED_ETH,D1REV_UK"
WF_TOP7,2021-06-01 00:00:00+00:00,7,"RISKPAR,TSMOM,VOLMGD,EVE_XAU,D1REV_UK,XSMOM,D1REV_NAS"
WF_TOP7,2021-07-01 00:00:00+00:00,7,"RISKPAR,TSMOM,VOLMGD,EVE_XAU,XSMOM,WED_BTC,D1REV_NAS"
WF_TOP7,2021-08-01 00:00:00+00:00,7,"RISKPAR,VOLMGD,TSMOM,WED_BTC,EVE_XAU,XSMOM,D1REV_NAS"
WF_TOP7,2021-09-01 00:00:00+00:00,7,"RISKPAR,TSMOM,VOLMGD,XSMOM,WED_BTC,WED_ETH,WED_SOL"
WF_TOP7,2021-10-01 00:00:00+00:00,7,"RISKPAR,TSMOM,VOLMGD,WED_ETH,WED_BTC,XSMOM,WED_SOL"
WF_TOP7,2021-11-01 00:00:00+00:00,7,"RISKPAR,VOLMGD,TSMOM,WED_ETH,WED_BTC,XSMOM,WED_SOL"
WF_TOP7,2021-12-01 00:00:00+00:00,7,"RISKPAR,TSMOM,WED_ETH,VOLMGD,WED_BTC,WED_SOL,XSMOM"
WF_TOP7,2022-01-01 00:00:00+00:00,7,"RISKPAR,WED_SOL,VOLMGD,WED_ETH,TSMOM,WED_BTC,D1REV_NAS"
WF_TOP7,2022-02-01 00:00:00+00:00,7,"WED_SOL,WED_ETH,RISKPAR,TSMOM,XSMOM,VOLMGD,WED_BTC"
WF_TOP7,2022-03-01 00:00:00+00:00,7,"WED_SOL,XSMOM,WED_ETH,RISKPAR,D1REV_UK,TSMOM,VOLMGD"
WF_TOP7,2022-04-01 00:00:00+00:00,7,"WED_SOL,WED_ETH,RISKPAR,XSMOM,VOLMGD,WED_BTC,TSMOM"
WF_TOP7,2022-05-01 00:00:00+00:00,7,"WED_SOL,WED_ETH,XSMOM,WED_BTC,D1REV_UK,TSMOM,RISKPAR"
WF_TOP7,2022-06-01 00:00:00+00:00,7,"WED_SOL,WED_ETH,WED_BTC,XSMOM,TSMOM,D1REV_UK,D1REV_NAS"
WF_TOP7,2022-07-01 00:00:00+00:00,7,"TSMOM,WED_SOL,XSMOM,WED_ETH,D1REV_UK,WED_BTC,D1REV_NAS"
WF_TOP7,2022-08-01 00:00:00+00:00,7,"XSMOM,WED_ETH,TSMOM,WED_SOL,D1REV_UK,WED_BTC,D1REV_NAS"
WF_TOP7,2022-09-01 00:00:00+00:00,7,"XSMOM,WED_ETH,TSMOM,D1REV_UK,WED_SOL,WED_BTC,D1REV_NAS"
WF_TOP7,2022-10-01 00:00:00+00:00,7,"TSMOM,XSMOM,D1REV_UK,D1REV_NAS,WED_ETH,WED_BTC,D1REV_SPX"
WF_TOP7,2022-11-01 00:00:00+00:00,7,"XSMOM,D1REV_UK,D1REV_NAS,TSMOM,D1REV_SPX,WED_ETH,WED_SOL"
WF_TOP7,2022-12-01 00:00:00+00:00,7,"XSMOM,D1REV_NAS,D1REV_UK,TSMOM,D1REV_SPX,WED_ETH,WED_SOL"
WF_TOP7,2023-01-01 00:00:00+00:00,7,"D1REV_UK,XSMOM,D1REV_NAS,TSMOM,D1REV_SPX,WED_ETH,WED_BTC"
WF_TOP7,2023-02-01 00:00:00+00:00,7,"D1REV_UK,D1REV_NAS,TSMOM,D1REV_SPX,XSMOM,WED_ETH,VOLMGD"
WF_TOP7,2023-03-01 00:00:00+00:00,7,"D1REV_NAS,D1REV_SPX,D1REV_UK,TSMOM,WED_BTC,WED_ETH,XSMOM"
WF_TOP7,2023-04-01 00:00:00+00:00,7,"XSMOM,D1REV_NAS,D1REV_UK,D1REV_SPX,TSMOM,WED_ETH,WED_BTC"
WF_TOP7,2023-05-01 00:00:00+00:00,7,"D1REV_NAS,D1REV_UK,XSMOM,D1REV_SPX,VOLMGD,TSMOM,RISKPAR"
WF_TOP7,2023-06-01 00:00:00+00:00,7,"D1REV_UK,D1REV_NAS,VOLMGD,D1REV_SPX,XSMOM,RISKPAR,WED_ETH"
WF_TOP7,2023-07-01 00:00:00+00:00,7,"D1REV_UK,VOLMGD,RISKPAR,D1REV_NAS,D1REV_SPX,WED_ETH,XSMOM"
WF_TOP7,2023-08-01 00:00:00+00:00,7,"VOLMGD,RISKPAR,D1REV_NAS,D1REV_SPX,D1REV_UK,XSMOM,EVE_XAU"
WF_TOP7,2023-09-01 00:00:00+00:00,7,"VOLMGD,RISKPAR,EVE_XAU,D1REV_NAS,D1REV_SPX,D1REV_UK,XSMOM"
WF_TOP7,2023-10-01 00:00:00+00:00,7,"VOLMGD,RISKPAR,EVE_XAU,D1REV_NAS,D1REV_SPX,XSMOM,D1REV_UK"
WF_TOP7,2023-11-01 00:00:00+00:00,7,"EVE_XAU,VOLMGD,RISKPAR,XSMOM,D1REV_NAS,D1REV_SPX,D1REV_UK"
WF_TOP7,2023-12-01 00:00:00+00:00,7,"EVE_XAU,VOLMGD,RISKPAR,XSMOM,TSMOM,D1REV_NAS,WED_BTC"
WF_TOP7,2024-01-01 00:00:00+00:00,7,"EVE_XAU,VOLMGD,RISKPAR,TSMOM,WED_BTC,XSMOM,WED_SOL"
WF_TOP7,2024-02-01 00:00:00+00:00,7,"EVE_XAU,RISKPAR,VOLMGD,TSMOM,XSMOM,WED_SOL,WED_BTC"
WF_TOP7,2024-03-01 00:00:00+00:00,7,"EVE_XAU,RISKPAR,VOLMGD,TSMOM,XSMOM,WED_SOL,WED_BTC"
WF_TOP7,2024-04-01 00:00:00+00:00,7,"EVE_XAU,RISKPAR,VOLMGD,TSMOM,WED_SOL,WED_BTC,XSMOM"
WF_TOP7,2024-05-01 00:00:00+00:00,7,"EVE_XAU,RISKPAR,VOLMGD,TSMOM,WED_SOL,WED_BTC,WED_ETH"
WF_TOP7,2024-06-01 00:00:00+00:00,7,"EVE_XAU,RISKPAR,VOLMGD,TSMOM,WED_SOL,WED_BTC,XSMOM"
