,is_sharpe,is_kelly_w,oos_kelly_w,full_kelly_w
RISKPAR,1.6325973109797052,0.15200932256178237,0.2322984213952038,0.1815895168688324
TREND_NEW,1.7068029020258222,0.12082233131946703,0.08859276924623607,0.10894828213459247
EVE_XAU,0.9276910626215183,0.09954924508351126,0.13541550177869172,0.11276312912910406
D1REV_UK,0.7567017692192248,0.011313303444565317,0.007394054933645131,0.009869369782647354
XSMOM,0.7387147086907202,0.10049998496733246,0.11338980546495438,0.10524886620329842
D1REV_NAS,0.7342539384014283,0.001736111111111111,0.0,0.0010964912280701754
WED_BTC,0.7282321832861672,0.014083452567207657,0.0040967483883849725,0.010404140501325616
DEFEND,0.26232913426816273,0.010763888888888897,0.017857142857142856,0.013377192982456146
PAIRS_EXP,1.3695316484718443,0.008680555555555556,0.01723004722304956,0.011830368275158612
VOLFORECAST,2.152534095693234,0.1905594729101409,0.24856038520521803,0.2119282300714851
H4_SLEEVE,3.3629468145179637,0.28824622047932635,0.13516512350747353,0.2318479215949595
CRYPTO_vs_SPX,0.5270881821452105,0.001736111111111111,0.0,0.0010964912280701754
