sleeve,feat,coef
RISKPAR,rv30_pct,-0.00035592053232390405
RISKPAR,cum30,-4.444657043094168e-05
RISKPAR,cum30_sign,6.80645174910083e-05
RISKPAR,sh30_RISKPAR,-0.0001031458168129171
RISKPAR,sh30_TSMOM,0.00011862135041604393
RISKPAR,sh30_EVE_XAU,2.672746980740136e-05
RISKPAR,sh30_D1REV_UK,2.865436468852245e-05
RISKPAR,sh30_XSMOM,6.590854098174453e-05
RISKPAR,sh30_D1REV_NAS,0.00022840738360905402
RISKPAR,sh30_WED_BTC,2.787928540680255e-05
RISKPAR,sh30_DEFEND,1.9307215739108486e-05
RISKPAR,sh30_PAIRS_EXP,0.0
RISKPAR,avg_corr,0.0
RISKPAR,max_abs_corr,0.0
RISKPAR,dow_mon,-1.0433430270611476e-05
RISKPAR,dow_tue,-0.00016375061066805944
RISKPAR,dow_wed,-0.0001644717428261717
RISKPAR,dow_thu,-0.00025921565873175185
RISKPAR,dow_fri,-0.0005825447891239331
RISKPAR,dom_std,0.00014657034410600676
RISKPAR,rv30_pct,2.431407681141832e-05
RISKPAR,cum30,-2.6272505294223454e-05
RISKPAR,cum30_sign,0.0003092472710578935
RISKPAR,sh30_RISKPAR,-0.00022147288742245844
RISKPAR,sh30_TSMOM,0.00021680865257075544
RISKPAR,sh30_EVE_XAU,-2.7874625155519014e-05
RISKPAR,sh30_D1REV_UK,3.604256844403766e-05
RISKPAR,sh30_XSMOM,0.00010951003775770962
RISKPAR,sh30_D1REV_NAS,2.8052597073138044e-05
RISKPAR,sh30_WED_BTC,0.00010534712949478411
RISKPAR,sh30_DEFEND,7.713045869155229e-05
RISKPAR,sh30_PAIRS_EXP,0.0
RISKPAR,avg_corr,0.0
RISKPAR,max_abs_corr,0.0
RISKPAR,dow_mon,0.00017617088206269005
RISKPAR,dow_tue,-0.00025373109317898773
RISKPAR,dow_wed,-0.00030510801110112464
RISKPAR,dow_thu,-0.0003306400319120437
RISKPAR,dow_fri,-0.0006140652686661497
RISKPAR,dom_std,1.1787023501639725e-05
RISKPAR,rv30_pct,0.0001400386944732988
RISKPAR,cum30,-7.388025008938097e-05
RISKPAR,cum30_sign,0.0003195108024922233
RISKPAR,sh30_RISKPAR,-0.0002143072220423815
RISKPAR,sh30_TSMOM,0.00017789120242962247
RISKPAR,sh30_EVE_XAU,2.835135370184983e-05
RISKPAR,sh30_D1REV_UK,1.7866791886457454e-05
RISKPAR,sh30_XSMOM,8.880919984226697e-05
RISKPAR,sh30_D1REV_NAS,3.20834817338779e-05
RISKPAR,sh30_WED_BTC,0.00010503170393788305
RISKPAR,sh30_DEFEND,9.87756155573822e-05
RISKPAR,sh30_PAIRS_EXP,0.0
RISKPAR,avg_corr,0.0
RISKPAR,max_abs_corr,0.0
RISKPAR,dow_mon,0.0001579906909947022
RISKPAR,dow_tue,-0.00018104061094677016
RISKPAR,dow_wed,-0.0004665721640969965
RISKPAR,dow_thu,-0.000522133394852147
RISKPAR,dow_fri,-0.0005929731061402616
RISKPAR,dom_std,0.00011274026687157456
RISKPAR,rv30_pct,-5.8923012072389e-05
RISKPAR,cum30,-0.00014484174743568045
RISKPAR,cum30_sign,0.0003950455007415751
RISKPAR,sh30_RISKPAR,-0.000286266825304903
RISKPAR,sh30_TSMOM,0.0002153275434200967
RISKPAR,sh30_EVE_XAU,3.0371613883054854e-05
RISKPAR,sh30_D1REV_UK,1.6376187132749082e-05
RISKPAR,sh30_XSMOM,9.187916838856242e-05
RISKPAR,sh30_D1REV_NAS,-8.787852332590937e-06
RISKPAR,sh30_WED_BTC,0.00010237198624562275
RISKPAR,sh30_DEFEND,0.0001717494597694843
RISKPAR,sh30_PAIRS_EXP,0.0
RISKPAR,avg_corr,0.0
RISKPAR,max_abs_corr,0.0
RISKPAR,dow_mon,0.00025116905469082124
RISKPAR,dow_tue,-0.00030649546691356093
RISKPAR,dow_wed,-0.0004352997215152924
RISKPAR,dow_thu,-0.0007429375288632315
RISKPAR,dow_fri,-0.0005349975409489041
RISKPAR,dom_std,-4.617853720780003e-05
RISKPAR,rv30_pct,0.00012948115453805594
RISKPAR,cum30,-0.0001543960089479287
RISKPAR,cum30_sign,0.000261603214345338
RISKPAR,sh30_RISKPAR,-0.000302363937951326
RISKPAR,sh30_TSMOM,0.0002554709121604128
RISKPAR,sh30_EVE_XAU,0.00010295608407323422
RISKPAR,sh30_D1REV_UK,5.7260250639586184e-05
RISKPAR,sh30_XSMOM,1.0476970467778024e-05
RISKPAR,sh30_D1REV_NAS,-7.136129468356403e-05
RISKPAR,sh30_WED_BTC,0.00010836268665789773
RISKPAR,sh30_DEFEND,0.00022090434778810535
RISKPAR,sh30_PAIRS_EXP,0.0
RISKPAR,avg_corr,0.0
RISKPAR,max_abs_corr,0.0
RISKPAR,dow_mon,0.0002186966941624566
RISKPAR,dow_tue,-0.0003334452192199632
RISKPAR,dow_wed,-0.0004685441300863873
RISKPAR,dow_thu,-0.0007825855966279568
RISKPAR,dow_fri,-0.00045210345672217194
RISKPAR,dom_std,-0.0003048097460004589
RISKPAR,rv30_pct,7.615060980368595e-06
RISKPAR,cum30,-7.881081482998365e-05
RISKPAR,cum30_sign,3.869037975390122e-05
RISKPAR,sh30_RISKPAR,-0.0001612705105555014
RISKPAR,sh30_TSMOM,0.00016570884258983705
RISKPAR,sh30_EVE_XAU,7.967463087409043e-06
RISKPAR,sh30_D1REV_UK,2.0805895709644664e-05
RISKPAR,sh30_XSMOM,-1.90806655865751e-05
RISKPAR,sh30_D1REV_NAS,-6.68453394101294e-05
RISKPAR,sh30_WED_BTC,6.304880345435472e-05
RISKPAR,sh30_DEFEND,0.00019989368818344519
RISKPAR,sh30_PAIRS_EXP,0.0
RISKPAR,avg_corr,0.0
RISKPAR,max_abs_corr,0.0
RISKPAR,dow_mon,-8.008941063490098e-07
RISKPAR,dow_tue,-0.0003419793604336609
RISKPAR,dow_wed,-0.0003175223281153042
RISKPAR,dow_thu,-0.0005306038225915116
RISKPAR,dow_fri,-0.00032847461983763726
RISKPAR,dom_std,-0.00021397280781834126
RISKPAR,rv30_pct,-0.0001350397438617532
RISKPAR,cum30,-3.3129733865807676e-05
RISKPAR,cum30_sign,7.613693899630257e-05
RISKPAR,sh30_RISKPAR,-0.00015178089030868462
RISKPAR,sh30_TSMOM,2.0005844134527576e-05
RISKPAR,sh30_EVE_XAU,-9.652107596336085e-06
RISKPAR,sh30_D1REV_UK,-0.00010080480359732523
RISKPAR,sh30_XSMOM,2.183671539105515e-05
RISKPAR,sh30_D1REV_NAS,-2.10390776901309e-05
RISKPAR,sh30_WED_BTC,3.457199054393748e-05
RISKPAR,sh30_DEFEND,-0.00019779575867681556
RISKPAR,sh30_PAIRS_EXP,0.0
RISKPAR,avg_corr,0.0
RISKPAR,max_abs_corr,0.0
RISKPAR,dow_mon,-9.333121232777162e-06
RISKPAR,dow_tue,-0.00026616220138370655
RISKPAR,dow_wed,-0.0003101779136599249
RISKPAR,dow_thu,-0.0004144172836045939
RISKPAR,dow_fri,-0.00011708137659684636
RISKPAR,dom_std,-0.00023261664199022855
RISKPAR,rv30_pct,-0.00027070004238616106
RISKPAR,cum30,-6.528416775451137e-05
RISKPAR,cum30_sign,-7.901142278662193e-05
RISKPAR,sh30_RISKPAR,-0.00020080446082792032
RISKPAR,sh30_TSMOM,5.4615672613332935e-05
RISKPAR,sh30_EVE_XAU,0.00010355568426794209
RISKPAR,sh30_D1REV_UK,8.068137535796313e-06
RISKPAR,sh30_XSMOM,2.009286665840296e-05
RISKPAR,sh30_D1REV_NAS,-0.00011755690498380684
RISKPAR,sh30_WED_BTC,-0.0001432599497049325
RISKPAR,sh30_DEFEND,-0.0003333345056095105
RISKPAR,sh30_PAIRS_EXP,0.0
RISKPAR,avg_corr,0.0
RISKPAR,max_abs_corr,0.0
RISKPAR,dow_mon,-8.51508997299994e-05
RISKPAR,dow_tue,-0.00035568250531238337
RISKPAR,dow_wed,-0.00010994353614559582
RISKPAR,dow_thu,6.563027708201217e-05
RISKPAR,dow_fri,-0.00023242988519756215
RISKPAR,dom_std,-0.000538961676498749
RISKPAR,rv30_pct,-0.00040459558439968213
RISKPAR,cum30,-3.777963705800272e-05
RISKPAR,cum30_sign,-0.0002896034478795378
RISKPAR,sh30_RISKPAR,-0.000334359447221295
RISKPAR,sh30_TSMOM,0.00018395483435496466
RISKPAR,sh30_EVE_XAU,0.00018279621014065432
RISKPAR,sh30_D1REV_UK,-3.85188761008454e-05
RISKPAR,sh30_XSMOM,-2.2895237043526735e-05
RISKPAR,sh30_D1REV_NAS,-0.00017962204920754344
RISKPAR,sh30_WED_BTC,-0.0002048925065165581
RISKPAR,sh30_DEFEND,-0.00045057289444568293
RISKPAR,sh30_PAIRS_EXP,0.0
RISKPAR,avg_corr,0.0
RISKPAR,max_abs_corr,0.0
RISKPAR,dow_mon,2.6320293537017615e-05
RISKPAR,dow_tue,-0.000302092740286269
RISKPAR,dow_wed,-9.727315957817662e-05
RISKPAR,dow_thu,-5.251542875102766e-05
RISKPAR,dow_fri,-0.0002602208553019595
RISKPAR,dom_std,-0.0004931499076401926
RISKPAR,rv30_pct,7.5999767514622065e-06
RISKPAR,cum30,-3.114192404693832e-05
RISKPAR,cum30_sign,-0.000467180942187568
RISKPAR,sh30_RISKPAR,-0.0002924553502327631
RISKPAR,sh30_TSMOM,0.00020992203676233794
RISKPAR,sh30_EVE_XAU,9.957968429368274e-05
RISKPAR,sh30_D1REV_UK,-7.878063430436713e-05
RISKPAR,sh30_XSMOM,-5.127518080839696e-05
RISKPAR,sh30_D1REV_NAS,-0.00015008378115745032
RISKPAR,sh30_WED_BTC,-9.077006765381885e-05
RISKPAR,sh30_DEFEND,0.0
RISKPAR,sh30_PAIRS_EXP,0.0
RISKPAR,avg_corr,0.0
RISKPAR,max_abs_corr,0.0
RISKPAR,dow_mon,-1.823585715593008e-05
RISKPAR,dow_tue,-6.862961459223942e-06
RISKPAR,dow_wed,8.356013034867034e-06
RISKPAR,dow_thu,-1.6245346308686898e-05
RISKPAR,dow_fri,-0.0002699438700864102
RISKPAR,dom_std,-0.00017365137394706096
RISKPAR,rv30_pct,-3.485486532394577e-05
RISKPAR,cum30,-3.99732556010275e-05
RISKPAR,cum30_sign,-0.000421998011610672
RISKPAR,sh30_RISKPAR,-0.00025857377873761395
RISKPAR,sh30_TSMOM,0.00018058588797088024
RISKPAR,sh30_EVE_XAU,0.00011197298334375865
RISKPAR,sh30_D1REV_UK,-9.844070286795878e-05
RISKPAR,sh30_XSMOM,-2.8230881552468382e-05
RISKPAR,sh30_D1REV_NAS,-0.00018613266057257915
RISKPAR,sh30_WED_BTC,-7.760228086872886e-05
RISKPAR,sh30_DEFEND,0.0
RISKPAR,sh30_PAIRS_EXP,0.0
RISKPAR,avg_corr,0.0
RISKPAR,max_abs_corr,0.0
RISKPAR,dow_mon,-0.00022398722912562592
RISKPAR,dow_tue,-2.7345188641531317e-05
RISKPAR,dow_wed,-0.00011211125676957309
RISKPAR,dow_thu,0.0001864167029535616
RISKPAR,dow_fri,-8.494737073362708e-05
RISKPAR,dom_std,-0.000136982760595944
RISKPAR,rv30_pct,3.694652210325887e-05
RISKPAR,cum30,-1.8038791215913163e-05
RISKPAR,cum30_sign,-0.00011798724340057996
RISKPAR,sh30_RISKPAR,-0.00031880736808728315
RISKPAR,sh30_TSMOM,0.00032508165172112397
RISKPAR,sh30_EVE_XAU,2.902055377207692e-05
RISKPAR,sh30_D1REV_UK,-0.00010665112794843259
RISKPAR,sh30_XSMOM,-9.339176598669581e-05
RISKPAR,sh30_D1REV_NAS,-7.832691787501096e-06
RISKPAR,sh30_WED_BTC,-1.3679321229586915e-06
