sleeve,scale_factor,FULL_sharpe,FULL_ret,FULL_vol,FULL_dd,IS_sharpe,IS_ret,IS_dd,OOS_sharpe,OOS_ret,OOS_dd,Y2022_sharpe,Y2022_ret,Y2024_25_sharpe,Y2024_25_ret,survivor
S1_asym_trend_long,0.6376,0.9517,0.0466,0.0489,-0.1260,1.0074,0.0504,-0.1260,0.8540,0.0402,-0.0899,-1.3747,-0.0365,0.8540,0.0402,True
S1b_sym_trend,0.4980,0.7167,0.0342,0.0478,-0.0970,0.7900,0.0395,-0.0970,0.5812,0.0255,-0.0746,0.0990,0.0063,0.5812,0.0255,False
S2_long_only_mr,0.6598,0.3343,0.0162,0.0485,-0.1435,0.5080,0.0254,-0.1348,0.0188,0.0009,-0.1067,-1.0902,-0.0707,0.0188,0.0009,True
S3_asym_breakout,0.6105,0.8515,0.0402,0.0472,-0.0488,0.8517,0.0426,-0.0488,0.8592,0.0363,-0.0399,0.2033,0.0095,0.8592,0.0363,True
S3b_sym_breakout,0.3000,0.0964,0.0043,0.0449,-0.0799,0.1042,0.0052,-0.0798,0.0823,0.0028,-0.0437,0.1986,0.0090,0.0823,0.0028,False
S4_skew_fade,1.0005,-0.1598,-0.0079,0.0496,-0.2075,-0.1060,-0.0053,-0.1322,-0.2516,-0.0123,-0.1082,-0.6025,-0.0366,-0.2516,-0.0123,False
S5_asym_pairs,1.5970,0.3448,0.0160,0.0465,-0.1079,0.2587,0.0129,-0.1079,0.5304,0.0212,-0.0385,-0.8184,-0.0557,0.5304,0.0212,False
S5b_sym_pairs,1.4449,0.2034,0.0093,0.0457,-0.1049,0.1813,0.0091,-0.1049,0.2585,0.0097,-0.0445,-0.6660,-0.0418,0.2585,0.0097,False
S6_xau_tod_asym,0.9350,0.5091,0.0334,0.0656,-0.1355,0.0489,0.0024,-0.1355,0.9941,0.0847,-0.0779,-0.7670,-0.0342,0.9941,0.0847,False
S6b_xau_eve_long,1.0081,0.8386,0.0555,0.0662,-0.1163,0.3116,0.0156,-0.1163,1.4086,0.1219,-0.0562,-0.4245,-0.0185,1.4086,0.1219,False
S7_reversal_regime,0.7257,0.0535,0.0027,0.0510,-0.1543,-0.2221,-0.0111,-0.1066,0.4929,0.0259,-0.0929,-0.5209,-0.0476,0.4929,0.0259,False
COMBINED,1.0000,0.9735,0.0304,0.0313,-0.0860,1.1424,0.0353,-0.0860,0.6993,0.0222,-0.0587,-1.1703,-0.0335,0.6993,0.0222,True
