ensemble,symbol,asset_class,is_sharpe,oos_sharpe,full_sharpe,yr2022_sharpe,is_ann_return,oos_ann_return,full_ann_return,full_max_dd,n_trades,exposure,survived,vol_scale
SIGNVOTE,BTCUSDT,crypto,-0.731320550434814,-0.4356258152526339,-0.6347098690962887,0.159782277816766,-0.4521680804312831,-0.19678122071172685,-0.3565757397910723,-0.9677243450458693,711,0.8351177730192719,False,0.0
ZSCORE,BTCUSDT,crypto,-0.4227079000184752,-0.8455078524537073,-0.5400639794479591,0.5201789786360469,-0.18667192598809315,-0.2608390377715742,-0.2144329776792119,-0.8559248266462217,644,0.3905781584582441,False,0.0
TRENDQUAL,BTCUSDT,crypto,-0.1616894497701092,0.2393830180656963,-0.03635833304828347,-0.327334905049388,-0.0650031448756885,0.07286300017196276,-0.013399285872841737,-0.7248887369909438,440,0.3169164882226981,False,0.0
MEANREV,BTCUSDT,crypto,0.48404147437678524,0.0,0.38283541735270343,0.0,0.0038132432940634897,0.0,0.002385930814829447,-0.0004999999999998339,1,0.00042826552462526765,False,0.0
VOLREGIME,BTCUSDT,crypto,0.7668850730664055,0.04355658460111102,0.5329856377554775,-0.7809444523532458,0.44178432384193894,0.019584461830828615,0.283753197761549,-0.7126970915447656,259,0.9905781584582442,True,0.08679405670138499
SIGNVOTE,ETHUSDT,crypto,-0.2936810686994846,-0.7932269322487505,-0.4542201594121734,0.5241674116645575,-0.23846072504131496,-0.5206146843022862,-0.3440720999424236,-0.9927590050978864,703,0.8466809421841541,False,0.0
ZSCORE,ETHUSDT,crypto,-0.8415700662901818,-0.3725329045941415,-0.695284389181788,0.37039045206570037,-0.5102829798265774,-0.1531962835730021,-0.37662397660361174,-0.9721556681031037,638,0.39186295503211993,False,0.0
TRENDQUAL,ETHUSDT,crypto,-0.03042735832510584,0.0695517264153172,0.002590929507483523,-0.1674416315192517,-0.016538590030292233,0.031176284139213258,0.0013212815003920753,-0.8643204397759514,423,0.31263383297644537,False,0.0
MEANREV,ETHUSDT,crypto,-0.5198510651748592,-0.45064282743456596,-0.4823772482766175,-1.041215408853288,-0.0032379144301481195,-0.0038709522794886076,-0.003474863072684988,-0.025828347810814667,3,0.001284796573875803,False,0.0
VOLREGIME,ETHUSDT,crypto,0.5879997118658793,0.026977881491288627,0.38955285416969593,0.2988574816229542,0.41898344484176914,0.017530247363365406,0.26871787970424243,-0.9523133079980511,256,0.9905781584582442,True,0.07016980254290714
