sleeve,scale_factor,FULL_sharpe,FULL_ret,FULL_vol,FULL_dd,IS_sharpe,IS_ret,IS_dd,OOS_sharpe,OOS_ret,OOS_dd,Y2022_sharpe,Y2022_ret,Y2024_25_sharpe,Y2024_25_ret,survivor
D1REV_BASE,0.3078,0.4985,0.0221,0.0444,-0.0465,0.4719,0.0236,-0.0465,0.5985,0.0196,-0.0317,0.5550,0.0250,0.5985,0.0196,False
S1_self_adapting,0.4052,-0.7706,-0.0333,0.0432,-0.2384,-0.6885,-0.0344,-0.1775,-1.1085,-0.0313,-0.0927,-2.1842,-0.0936,-1.1085,-0.0313,False
S2_revrev,0.3994,-0.1698,-0.0074,0.0436,-0.1228,-0.1616,-0.0081,-0.1195,-0.2098,-0.0063,-0.0583,-1.2745,-0.0600,-0.2098,-0.0063,False
S3a_mp_3d,0.2921,0.3743,0.0169,0.0451,-0.0466,0.4168,0.0208,-0.0455,0.2894,0.0102,-0.0466,0.8162,0.0370,0.2894,0.0102,False
S3b_mp_5d,0.2917,0.3735,0.0168,0.0451,-0.0476,0.3945,0.0197,-0.0456,0.3396,0.0120,-0.0431,0.8008,0.0362,0.3396,0.0120,False
S4_dd_adaptive,0.4088,0.2496,0.0111,0.0446,-0.0671,0.2140,0.0107,-0.0613,0.3528,0.0118,-0.0311,0.1007,0.0048,0.3528,0.0118,False
S5_two_sided,0.4843,0.5677,0.0240,0.0422,-0.0672,0.6418,0.0321,-0.0672,0.4307,0.0103,-0.0225,0.4409,0.0236,0.4307,0.0103,True
S6_momentum_exit,0.2990,0.4115,0.0184,0.0447,-0.0431,0.4101,0.0205,-0.0431,0.4370,0.0148,-0.0392,0.7744,0.0345,0.4370,0.0148,False
S7_vol_cond,0.6360,-0.0975,-0.0046,0.0469,-0.0793,-0.1258,-0.0063,-0.0793,-0.0409,-0.0017,-0.0540,0.6105,0.0389,-0.0409,-0.0017,False
COMBINED,1.0000,0.5677,0.0240,0.0422,-0.0672,0.6418,0.0321,-0.0672,0.4307,0.0103,-0.0225,0.4409,0.0236,0.4307,0.0103,True
