sleeve,active_days_2024,flips_2024,trades_per_year,capacity_usd,binding_symbol,binding_adv_usd,n_names,sleeve_share,asset_classes,in_top22
D1REV_UK,401,201,167.806,4.16354e+06,UK100_GBP,4.5368e+07,1,0.0454545,index,True
D1REV_SPX,435,236,197.026,7.70097e+06,SPX500_USD,9.85256e+07,1,0.0454545,index,False
TERM_SPREADS,874,433,361.493,1.93273e+07,UK100_GBP,4.5368e+07,10,0.0454545,"fx,index",True
H4_SLEEVE,875,475,396.557,2.29038e+07,UK100_GBP,4.5368e+07,13,0.0454545,"crypto,fx,index",True
CORR_REGIME,875,445,371.511,2.44479e+07,UK100_GBP,4.5368e+07,13,0.0454545,"crypto,fx,index",True
TREND_COND,873,434,362.328,2.50676e+07,UK100_GBP,4.5368e+07,13,0.0454545,"crypto,fx,index",False
MOM_QUALITY,845,434,362.328,2.50676e+07,UK100_GBP,4.5368e+07,13,0.0454545,"crypto,fx,index",False
XSMOM,874,431,359.823,2.52421e+07,UK100_GBP,4.5368e+07,13,0.0454545,"crypto,fx,index",True
MULTI_CONFIRM,846,430,358.989,2.53008e+07,UK100_GBP,4.5368e+07,13,0.0454545,"crypto,fx,index",False
TSMOM,875,426,355.649,2.55383e+07,UK100_GBP,4.5368e+07,13,0.0454545,"crypto,fx,index",False
VOL_BREAKOUT,873,423,353.145,2.57194e+07,UK100_GBP,4.5368e+07,13,0.0454545,"crypto,fx,index",True
VOLFORECAST,874,406,338.952,2.67964e+07,UK100_GBP,4.5368e+07,13,0.0454545,"crypto,fx,index",True
MICROSTR_D1,818,397,331.438,2.74038e+07,UK100_GBP,4.5368e+07,13,0.0454545,"crypto,fx,index",True
STATARB_XS,746,391,326.429,2.78244e+07,UK100_GBP,4.5368e+07,13,0.0454545,"crypto,fx,index",True
VOLMGD,875,389,324.759,2.79674e+07,UK100_GBP,4.5368e+07,13,0.0454545,"crypto,fx,index",False
TREND_NEW,779,362,302.218,3.00534e+07,UK100_GBP,4.5368e+07,13,0.0454545,"crypto,fx,index",True
RISKPAR,756,351,293.035,3.09952e+07,UK100_GBP,4.5368e+07,13,0.0454545,"crypto,fx,index",True
D1REV_NAS,504,258,215.393,4.04392e+07,NAS100_USD,5.65605e+08,1,0.0454545,index,True
MULTIDAY,473,245,204.54,4.44054e+07,UK100_GBP,4.5368e+07,13,0.0454545,"crypto,fx,index",True
SESSION_MOM,49,21,17.532,4.70966e+07,JP225_USD,5.36167e+07,1,0.0454545,index,True
CRYPTO_DOM,874,448,374.016,5.53365e+07,SOLUSDT,4.47981e+08,3,0.0454545,crypto,False
VRP_PROXY,361,194,161.962,5.6079e+07,UK100_GBP,4.5368e+07,13,0.0454545,"crypto,fx,index",False
WED_SOL,250,132,110.201,6.26029e+07,SOLUSDT,4.47981e+08,1,0.0454545,crypto,False
PAIRS_EXP,251,133,111.036,8.17994e+07,UK100_GBP,4.5368e+07,13,0.0454545,"crypto,fx,index",True
W1_STRATS,249,116,96.8434,9.37873e+07,UK100_GBP,4.5368e+07,13,0.0454545,"crypto,fx,index",True
CRYPTO_vs_SPX,108,58,48.4217,1.2534e+08,SPX500_USD,9.85256e+07,4,0.0454545,"crypto,index",True
EVENT_VOLSPIKE,98,63,52.596,1.72688e+08,UK100_GBP,4.5368e+07,13,0.0454545,"crypto,fx,index",True
WED_ETH,250,130,108.531,1.82273e+08,ETHUSDT,1.28456e+09,1,0.0454545,crypto,False
WED_BTC,250,130,108.531,2.44722e+08,BTCUSDT,1.72467e+09,1,0.0454545,crypto,True
EURGBP_MR,322,191,159.458,2.83926e+09,EUR_USD,1.46994e+10,2,0.0454545,fx,True
TAIL_SAFEHAVEN,618,315,262.98,2.92246e+09,USD_JPY,2.49529e+10,2,0.0454545,fx,False
EVE_XAU,666,337,281.347,4.25414e+09,XAU_USD,7.772e+10,1,0.0454545,fx,True
DEFEND,68,40,33.3943,2.30144e+10,USD_JPY,2.49529e+10,2,0.0454545,fx,True
