variant,OOS_sharpe,OOS_vol,OOS_dd,Y2022_sharpe,Y2022_dd,IS_sharpe,FULL_sharpe,dSharpe_vs_BASE,dDD_vs_BASE_pp
V0_BASELINE,4.0419,0.1576,-0.0623,4.1479,-0.0610,4.6212,4.4004,0.0000,0.0000
V1_RECOVERY_SCORE,3.5653,0.1567,-0.0671,3.9882,-0.0743,4.4215,4.0966,-0.4767,-0.4739
V2_DEFENSIVE_TILT,4.0355,0.1580,-0.0673,4.1710,-0.0597,4.6485,4.4148,-0.0065,-0.4990
V3_AGGR_DERISK,3.8786,0.1555,-0.0698,4.2060,-0.0537,4.5542,4.2943,-0.1633,-0.7482
V4_CORR_IN_DD,4.0239,0.1578,-0.0601,4.1280,-0.0636,4.6414,4.4071,-0.0180,0.2239
V5_TIMEDECAY,3.8840,0.1438,-0.0553,4.3098,-0.0420,4.5678,4.3057,-0.1580,0.7057
V6_DD_SHARPE_FILT,3.3463,0.1717,-0.1038,3.6353,-0.0700,3.8571,3.6550,-0.6956,-4.1501
V7_LATERAL_DIVERS,4.0327,0.1578,-0.0599,4.1180,-0.0637,4.6186,4.3962,-0.0092,0.2440
V8_COMBO_LIGHT,4.0105,0.1579,-0.0592,4.0951,-0.0665,4.6335,4.3977,-0.0315,0.3185
V9_COMBO_AGGR,3.8667,0.1445,-0.0542,4.2610,-0.0429,4.5525,4.2898,-0.1753,0.8120
