symbol,horizon,sign,n_events_total,IS_sharpe,OOS_sharpe,FULL_sharpe,Y2022_sharpe
SPX500_USD,1,1,3,0.4889085744821234,-0.7260340619628439,-0.37667630517473644,0.9835737927433092
NAS100_USD,2,1,5,0.44299566239534977,0.8990313844350432,0.6461338701304551,0.8909856045754186
US30_USD,1,1,2,0.0,-0.6782820035822259,-0.41429906274751516,0.0
UK100_GBP,1,1,2,0.0,0.08447969639932529,0.0516289546261276,0.0
DE30_EUR,3,1,3,0.49806935111069667,-0.5624771933873967,-0.2167789209722186,1.0020582497581394
JP225_USD,2,1,12,0.49781821533201454,0.8060507797253247,0.6157451561033083,0.0
EUR_USD,2,-1,16,0.45998922440457496,-0.3451672457690789,0.15577962062753847,0.9765390646631272
GBP_USD,3,-1,8,0.2768290538299455,0.0,0.2188029929291254,0.556391230606747
USD_JPY,3,-1,35,0.6864263426102909,0.6570010055162605,0.6730859921043002,1.4370565286470178
XAU_USD,1,-1,27,1.008508469647633,-0.6521069838509331,-0.3203181776795188,0.9753241510596153
BTCUSDT,1,-1,13,0.805067500017525,0.8267391645495747,0.7996534428324241,0.5234482442362206
ETHUSDT,1,-1,19,1.0309190698916266,0.8851770165017404,0.9781502207644908,1.1598293202679124
SOLUSDT,2,1,11,0.7427464047222911,0.18887448079143096,0.576925873687134,-0.35438090799614785
