sleeve,IS_bull_Sh,IS_bear_Sh,IS_neut_Sh,bull_minus_bear
RISKPAR,1.7278,-0.2399,-0.0785,1.9677
W1_STRATS,2.4225,0.8576,0.9694,1.5649
VOLFORECAST,2.2063,0.6564,0.2558,1.5499
TREND_NEW,1.8055,0.2891,-0.0138,1.5164
CORR_REGIME,1.5856,0.2207,0.9165,1.3649
HMM_BULL_TSMOM,1.5809,0.3094,0.7204,1.2715
VOL_BREAKOUT,1.6967,0.4874,0.8370,1.2093
EVE_XAU,1.2349,0.2200,-1.0782,1.0149
TERM_SPREADS,1.3072,0.3021,0.8167,1.0051
DEFEND,1.0580,0.0743,-0.3259,0.9838
CRYPTO_vs_SPX,0.6043,0.0116,0.9451,0.5927
MICROSTR_D1,2.2062,1.6692,0.4674,0.5370
WED_BTC,0.7421,0.4476,-0.5269,0.2945
EVENT_VOLSPIKE,1.0456,0.9644,0.6191,0.0812
XSMOM,0.5767,0.5024,0.9905,0.0743
MULTIDAY,1.5120,1.7540,0.5221,-0.2419
D1REV_NAS,0.5452,0.7909,-0.2614,-0.2457
PAIRS_EXP,0.7707,1.1572,0.5565,-0.3864
SESSION_MOM,0.4061,0.8318,0.6304,-0.4257
STATARB_XS,0.4028,0.9717,-0.3558,-0.5688
EURGBP_MR,0.7048,1.3307,-0.6000,-0.6259
D1REV_UK,-0.0739,1.1337,0.0315,-1.2075
H4_SLEEVE,1.3561,3.6000,0.5026,-2.2439
