label,symbol,timeframe,scenario,cost_bps_per_side,IS_sharpe,OOS_sharpe,FULL_sharpe,Y2022_sharpe,IS_dd,OOS_dd,FULL_dd,survives
ETH_MOM_M15_L16,ETHUSDT,M15,baseline,5.0,-1.836355450723198,-0.8653346569368505,-1.5215403164760208,-1.5674266861941084,-0.9998422363794991,-0.8888439794340514,-0.9999777715662888,False
ETH_MOM_M15_L16,ETHUSDT,M15,optimistic,1.0,-0.4473844122778087,0.9028768024366206,-0.027855755662545334,-0.1330150074291927,-0.9856884305143471,-0.4718052749197501,-0.9886464964804161,False
ETH_MOM_M15_L16,ETHUSDT,M15,aggressive,0.5,-0.2735741352018401,1.1241031628061111,0.1590494409715684,0.0464394931110007,-0.9792943317352703,-0.43615998347382057,-0.9795572360118093,False
ETH_MOM_M15_L32,ETHUSDT,M15,baseline,5.0,-0.6978002964156547,0.2909061594981745,-0.3873507835468538,-1.1128264033608937,-0.989758246923167,-0.6818985645871641,-0.9951820823009012,False
ETH_MOM_M15_L32,ETHUSDT,M15,optimistic,1.0,-0.012793699737772777,1.1810902507559033,0.3548533015099068,-0.39048045509272145,-0.908688308870149,-0.4751475588776133,-0.908688308870149,False
ETH_MOM_M15_L32,ETHUSDT,M15,aggressive,0.5,0.07288060083836416,1.292381450918511,0.44767188562882865,-0.30012160892827655,-0.8907731562245846,-0.47182605519958964,-0.8907731562245846,False
BTC_MOM_M15_L16,BTCUSDT,M15,baseline,5.0,-2.825296776849003,-2.467058469138667,-2.68160927522129,-3.208957983242366,-0.9999139463049493,-0.9656969442585239,-0.9999965890906063,False
BTC_MOM_M15_L16,BTCUSDT,M15,optimistic,1.0,-1.0281691229658174,0.010878126088204888,-0.7152484688126604,-1.2105388034211313,-0.9904254272041567,-0.6350391789638372,-0.9946599555198513,False
BTC_MOM_M15_L16,BTCUSDT,M15,aggressive,0.5,-0.8030421942027152,0.3214356987118293,-0.46889590712423335,-0.9600273604283417,-0.9831552751668323,-0.5450374614451785,-0.9874240754144034,False
BTC_MOM_M15_L32,BTCUSDT,M15,baseline,5.0,-0.8537668223541713,-0.4666176666630883,-0.730305233951113,-1.9032195823028386,-0.9798305171123973,-0.6614064061466604,-0.9920237084933544,False
BTC_MOM_M15_L32,BTCUSDT,M15,optimistic,1.0,0.041708174855408814,0.7367684986765644,0.24044193705139916,-0.8824566802766531,-0.8193960855464862,-0.3603320226990282,-0.8193960855464862,False
BTC_MOM_M15_L32,BTCUSDT,M15,aggressive,0.5,0.15373047949651455,0.8873517753556015,0.36188812510217866,-0.7546697553227661,-0.7924553374419459,-0.35557795865907604,-0.7924553374419459,False
SOL_MOM_M15_L16,SOLUSDT,M15,baseline,5.0,-1.7568356903740219,-1.1605379299385667,-1.5368316399018325,-1.7531145928533554,-0.9999966853707963,-0.9754990332693476,-0.999999873470282,False
SOL_MOM_M15_L16,SOLUSDT,M15,optimistic,1.0,-0.9324209817730299,0.1958406226122963,-0.5820267280367385,-0.7989639796919236,-0.9998072443292271,-0.8034297435524784,-0.9999356148408703,False
SOL_MOM_M15_L16,SOLUSDT,M15,aggressive,0.5,-0.8293098561091417,0.3654951632326601,-0.4626060509863038,-0.6795907406599881,-0.9996857401377601,-0.7788444419637535,-0.9998777245016974,False
SOL_MOM_M15_L32,SOLUSDT,M15,baseline,5.0,-0.7609594761174403,-1.645907315737549,-0.9950908652695057,-1.0486016178472566,-0.9994704127392526,-0.9886619950944732,-0.9999929850219932,False
SOL_MOM_M15_L32,SOLUSDT,M15,optimistic,1.0,-0.35227337777454415,-0.9548866049482105,-0.5162111899116713,-0.5844531555268462,-0.9962957018344636,-0.9518718031627542,-0.9997712585934435,False
SOL_MOM_M15_L32,SOLUSDT,M15,aggressive,0.5,-0.3011714268570846,-0.8684271473736003,-0.45632469208736465,-0.5264064647069329,-0.9952766029922746,-0.9423436518969102,-0.9996464714917335,False
ORB_H1_SPX500_USD,SPX500_USD,H1,baseline,1.4999999999999998,-0.23408445669311478,-0.945399320672148,-0.4331942421042615,0.7869485870930565,-0.20320630037701692,-0.1461209286272327,-0.2325336510174295,False
ORB_H1_SPX500_USD,SPX500_USD,H1,optimistic,0.5,0.02124004425644995,-0.5558770545662647,-0.14366636617900636,1.0593116095540465,-0.20175966574685844,-0.1147040854388296,-0.20175966574685844,False
ORB_H1_SPX500_USD,SPX500_USD,H1,aggressive,0.3,0.07232990132073976,-0.4779442492167631,-0.08573403871499333,1.1137661298573007,-0.20147004131433677,-0.10843173202242684,-0.20147004131433677,False
ORB_H1_NAS100_USD,NAS100_USD,H1,baseline,1.4999999999999998,0.37244338933614324,-0.581209452033668,0.07974123678370408,2.150079041165449,-0.21055232634565602,-0.13181549738335874,-0.21055232634565602,False
ORB_H1_NAS100_USD,NAS100_USD,H1,optimistic,0.5,0.5922720722419608,-0.2859355221001669,0.3200481703603113,2.3634339834298266,-0.2092805695192207,-0.10436758179854966,-0.2092805695192207,False
ORB_H1_NAS100_USD,NAS100_USD,H1,aggressive,0.3,0.6362449024204268,-0.22687265721403493,0.3681170035274896,2.406067432816374,-0.20902598778246861,-0.09879804083519272,-0.20902598778246861,False
ORB_H1_US30_USD,US30_USD,H1,baseline,1.4999999999999998,-0.7301866719863498,-0.12507437503220672,-0.550829391743107,-0.030756996014004938,-0.25818460878905114,-0.07290398352914695,-0.30094944046206296,False
ORB_H1_US30_USD,US30_USD,H1,optimistic,0.5,-0.4643222583676691,0.3067095643609934,-0.24497275245720637,0.2608886928486838,-0.20982564625023137,-0.0585607372015009,-0.20982564625023137,False
ORB_H1_US30_USD,US30_USD,H1,aggressive,0.3,-0.4111064383869718,0.3930116129554393,-0.18376960489313232,0.3192302199488274,-0.20957114831104773,-0.05660038942066814,-0.20957114831104773,False
ORB_H1_DE30_EUR,DE30_EUR,H1,baseline,1.4999999999999998,0.1114258729057776,0.6147963386069104,0.2681593431726458,0.7218123160240568,-0.1515830255804933,-0.05719705884165793,-0.1515830255804933,False
ORB_H1_DE30_EUR,DE30_EUR,H1,optimistic,0.5,0.35403104571976995,0.9433143120716434,0.5357620318352593,0.9590399843435775,-0.14612986592263189,-0.04786277439665976,-0.14612986592263189,False
ORB_H1_DE30_EUR,DE30_EUR,H1,aggressive,0.3,0.4025616700441001,1.0089804405735283,0.5892823400835366,1.006487480031942,-0.14503510098936578,-0.04690929101711838,-0.14503510098936578,False
