feature,importance
spx_r5,0.28386960892048274
spx_r30,0.1938061862710215
btc_rv30,0.13688802932332517
btc_r30,0.10875604015484505
spx_signvol,0.1051258007554956
spx_vov,0.04573805169516915
dow,0.028329747765098497
spx_rv30,0.026532288310790516
jpy_rv60,0.02338871677412214
btc_signvol,0.017354678370464966
spx_r90,0.012047835764905552
top21_sharpe30,0.007266604590356457
eur_rv60,0.0054025766596461225
month,0.004684476854967665
dom,0.0008093577893087285
spx_vol_xcorr,0.0
xcorr60,0.0
vix_quartile,0.0
