symbol,n_is,is_full_skew,oos_full_skew,is_mean_60d_skew,is_median_60d_skew,is_pct_pos_skew,is_pct_neg_skew
DE30_EUR,1022,-1.3401,0.3032,-0.3963,-0.3653,0.2024,0.7976
UK100_GBP,1007,-1.4404,-0.5838,-0.3082,-0.2081,0.3244,0.6756
XAU_USD,1031,-0.3564,-0.8893,-0.2844,-0.3281,0.3034,0.6966
SPX500_USD,1033,-0.5643,0.8224,-0.2753,-0.2795,0.2193,0.7807
ETHUSDT,1460,-1.5200,0.2404,-0.2730,-0.2221,0.3702,0.6298
US30_USD,1033,-0.6833,0.7623,-0.2333,-0.2047,0.2374,0.7626
JP225_USD,1033,-0.8008,-0.0331,-0.2238,-0.2921,0.2978,0.7022
NAS100_USD,1033,-0.4149,0.6419,-0.2107,-0.2801,0.2787,0.7213
GBP_USD,1037,-0.3065,-0.1128,-0.2094,-0.1843,0.3006,0.6994
BTCUSDT,1460,-1.8443,0.0771,-0.2063,-0.0782,0.4490,0.5510
USD_JPY,1038,-0.4612,-0.3811,-0.0077,0.1032,0.5796,0.4204
EUR_USD,1037,0.0715,0.4032,-0.0054,-0.0786,0.4579,0.5421
SOLUSDT,1237,-0.2611,-0.0144,0.0374,0.1528,0.6285,0.3715
