strategy,symbol,asset_class,is_sharpe,oos_sharpe,full_sharpe,yr2022_sharpe,is_ann_return,oos_ann_return,full_ann_return,full_max_dd,is_n,oos_n,n_trades,exposure,survived,vol_scale
MOM12,BTCUSDT,crypto,0.8136894989959833,0.6166022006157651,0.7454497231782776,0.734419745682864,0.4945761847637528,0.27258079899561266,0.41124458349943593,-0.5340237981821123,208,125,17,0.960960960960961,True,0.08226128997544264
DONCH,BTCUSDT,crypto,0.9922648195625811,0.6709703813496183,0.8847097220449367,-1.0159664531665569,0.4842052452020949,0.22597586742588144,0.3872722955863991,-0.5071735673452189,208,125,7,0.5675675675675675,True,0.10246324563754314
ZREV,BTCUSDT,crypto,-0.20501703822302994,-1.188118751049836,-0.5754730937486122,0.7898198345302675,-0.02491682174121277,-0.14610108877277267,-0.07040641146777431,-0.39385976543688406,208,125,13,0.03903903903903904,False,0.0
RSI_MA,BTCUSDT,crypto,1.5216779823634274,0.9192925596553047,1.3072242527830205,0.0,0.4736642724279977,0.257105539635113,0.392373456815053,-0.24059627441661358,208,125,30,0.25225225225225223,True,0.1606283258987767
XSMOM,BTCUSDT,crypto,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208,125,1,0.0,False,0.0
EXHAUST,BTCUSDT,crypto,-0.5018639249075413,-0.6486804223364383,-0.3979248269514483,-0.8722106778788637,-0.03025134350469599,-0.00020871,-0.018974078675605903,-0.1473707182087426,208,125,2,0.012012012012012012,False,0.0
CALENDAR,BTCUSDT,crypto,0.8222960972783406,0.8366747578032769,0.8242677964034621,-1.7807998978218673,0.26189358338445234,0.22366578958115127,0.24754381093576572,-0.5718528727325787,208,125,77,0.3153153153153153,True,0.15699050099887965
MOM12,ETHUSDT,crypto,0.51553114505883,0.2701440427933902,0.43021838496148473,-0.1361553361172532,0.40885241005241146,0.1865645812826258,0.325411032886576,-0.9571709725040227,208,125,18,0.960960960960961,True,0.06304611791242018
DONCH,ETHUSDT,crypto,1.054774259410323,0.5547315125312409,0.887886524557091,-2.430710027333702,0.661848922076499,0.2733764236917234,0.516025912172304,-0.7278445282566632,208,125,7,0.5435435435435435,True,0.07968391457834906
ZREV,ETHUSDT,crypto,0.10949675326998949,-0.27440705921801084,0.020517303038083967,-1.028315950481332,0.023507627016470325,-0.029180514438847588,0.0037297961398494884,-0.3311855421181462,208,125,14,0.04504504504504504,False,0.0
RSI_MA,ETHUSDT,crypto,1.2020848627401626,0.3874643560936972,0.9625388480512328,-1.39505640891531,0.650981148373738,0.11882130434175013,0.4512214471605293,-0.4158440929343856,208,125,26,0.24624624624624625,True,0.09232869997412183
XSMOM,ETHUSDT,crypto,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208,125,1,0.0,False,0.0
EXHAUST,ETHUSDT,crypto,-0.7263111034001762,0.0,-0.5729407202631771,-1.4751659199989164,-0.11585815544579496,0.0,-0.07236785685503108,-0.405918931231116,208,125,1,0.012012012012012012,False,0.0
CALENDAR,ETHUSDT,crypto,1.02300678123481,0.5146045212139947,0.8382650349812718,-1.692031472619213,0.5078315256825642,0.24075995385388088,0.40757943415528064,-0.7085081217227609,208,125,77,0.3153153153153153,True,0.10072304785133329
MOM12,SOLUSDT,crypto,0.5671748658835403,0.24678020942723508,0.45906679188293503,1.3151858399149239,0.7814989174183115,0.2027870718715976,0.5419658687648702,-0.9837846514335515,177,125,21,0.956953642384106,True,0.036287629658989635
DONCH,SOLUSDT,crypto,1.9642661428036405,0.05924653415634466,1.3167852048065949,-1.0140346560765408,1.9278592221053006,0.0386482961461269,1.1459010573870996,-0.6640629859839589,177,125,5,0.47019867549668876,True,0.05094423182670419
ZREV,SOLUSDT,crypto,-0.7878377472136535,0.8425021405649752,-0.5113597580930014,-1.018867767372307,-0.27501125548014466,0.05417727622926457,-0.13875772414346862,-0.7435099835485985,177,125,8,0.029801324503311258,False,0.0
RSI_MA,SOLUSDT,crypto,1.2830791815586327,0.0963492741286854,0.870782873244189,0.0,0.9264391881723529,0.04958771600853383,0.5635039761840172,-0.5601436249278009,177,125,23,0.23841059602649006,True,0.06924789009032783
XSMOM,SOLUSDT,crypto,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177,125,1,0.0,False,0.0
EXHAUST,SOLUSDT,crypto,-0.3159726632020678,0.0,-0.24180248642632282,-0.2807844063552474,-0.07482919740904895,0.0,-0.04385684748808498,-0.42475581185196254,177,125,2,0.019867549668874173,False,0.0
CALENDAR,SOLUSDT,crypto,0.6518894032120829,0.5220490512532429,0.5915863115440175,-1.855808987583971,0.604319201234912,0.2521279617310659,0.4585446815727241,-0.9081817201783908,177,125,69,0.31456953642384106,True,0.05393585061338133
MOM12,EUR_USD,forex,-0.09651609186568395,-0.1546754105520795,-0.11780599936959123,0.8785065363246717,-0.0068266731612188665,-0.01065597758616609,-0.008252600334472483,-0.13748162440623957,209,124,20,0.960960960960961,False,0.0
DONCH,EUR_USD,forex,0.09160350767668031,-0.03163074460757244,0.043080611149980824,-0.48461064886451166,0.004160508549013411,-0.0015703832370196704,0.002026482778838932,-0.10384625464979236,209,124,8,0.5315315315315315,False,0.0
ZREV,EUR_USD,forex,0.7265809358626274,0.0020314660766038595,0.4783131369883648,1.1743927955692148,0.012345545608789968,3.0017230246106842e-05,0.007759583089452314,-0.015434481656122712,209,124,17,0.05405405405405406,True,2.942684587975218
RSI_MA,EUR_USD,forex,-0.13653154061122813,0.30078413261596126,0.053636491938052464,1.4408338767774427,-0.004062131868644404,0.011658885359593602,0.0017919406127415174,-0.062227010023580775,209,124,27,0.27627627627627627,False,0.0
XSMOM,EUR_USD,forex,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209,124,1,0.0,False,0.0
EXHAUST,EUR_USD,forex,-0.6150342128373912,0.0,-0.48659191615122505,0.0,-0.004531673233655035,0.0,-0.002844203320822529,-0.018096104959667625,209,124,2,0.018018018018018018,False,0.0
CALENDAR,EUR_USD,forex,-0.45954774714513513,0.3176928978230932,-0.17565661879595662,-0.5515796342557638,-0.02009378901895031,0.013453617108327149,-0.007601661812396541,-0.12843369502386248,209,124,77,0.3183183183183183,False,0.0
MOM12,GBP_USD,forex,0.42619957407737125,-0.24922205960619884,0.2067189060030891,0.9904193925103105,0.03582675406403687,-0.016851011870871502,0.0162110093915785,-0.11932239219151419,209,124,20,0.960960960960961,False,0.0
DONCH,GBP_USD,forex,0.5557611997396545,-0.14188955727982389,0.31235872383561936,0.7859489253754735,0.029400993647095,-0.006746987549652092,0.01594048413239037,-0.06515564685492481,209,124,7,0.4864864864864865,False,0.0
ZREV,GBP_USD,forex,0.08540256531413616,0.019967549818410434,0.06768728347239221,0.1712513689530387,0.0018728566867365704,0.00021001509115124405,0.0012536604169090012,-0.043435080941697235,209,124,14,0.04804804804804805,False,0.0
RSI_MA,GBP_USD,forex,0.4911031302352538,-0.7044300805285342,0.1404133048804446,0.7553191136846195,0.020571494168885728,-0.020450388543013304,0.00529607838427468,-0.0717744134141558,209,124,30,0.2912912912912913,False,0.0
XSMOM,GBP_USD,forex,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209,124,1,0.0,False,0.0
EXHAUST,GBP_USD,forex,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209,124,1,0.0,False,0.0
CALENDAR,GBP_USD,forex,-0.12394648782641297,-0.09759360780157778,-0.11462279909293774,0.351442605966766,-0.006849827712113576,-0.0036765756904856063,-0.005668196328684545,-0.11837385694045155,209,124,77,0.3183183183183183,False,0.0
MOM12,USD_JPY,forex,1.2972962513257922,0.051971058680321196,0.772077629714165,1.9079343918472065,0.10434492248968096,0.005045086539301798,0.0673684070006509,-0.1156157289669153,209,124,14,0.960960960960961,True,0.6216384182249436
DONCH,USD_JPY,forex,1.202132041294374,-0.03530514117181307,0.6981780195981397,1.4458967599676498,0.07986337201976765,-0.00268283663771497,0.049125444471635984,-0.1104079856861292,209,124,5,0.6186186186186187,False,0.0
ZREV,USD_JPY,forex,-0.5183511426713605,1.0667817600833507,0.08153190872037973,-1.1769848869964918,-0.013431540712725537,0.02840350397915906,0.0021466741274957556,-0.09889441452359904,209,124,14,0.057057057057057055,False,0.0
RSI_MA,USD_JPY,forex,0.614898534659814,0.5510470618095489,0.591853960655717,0.15454033533116737,0.027665920152172944,0.022888310831027915,0.025886870434989818,-0.07007764677961226,209,124,32,0.29429429429429427,True,1.1112923974291138
XSMOM,USD_JPY,forex,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209,124,1,0.0,False,0.0
EXHAUST,USD_JPY,forex,0.8910410791579528,0.0,0.7039176134006143,1.8288655329914472,0.006988319927566485,0.0,0.0043860626572414275,-0.00010000000000010001,209,124,2,0.012012012012012012,True,6.375216707259685
CALENDAR,USD_JPY,forex,0.6104435494195161,0.3828405205406733,0.5238652796495328,0.8599162873072291,0.033015649909216085,0.021379101560714833,0.028682520794458866,-0.07495388317511043,209,124,77,0.3183183183183183,True,0.9244760455996887
MOM12,XAU_USD,forex,0.22724520514378863,1.6682708690629393,0.8503834259906194,0.049260603375857304,0.03139723808712935,0.3087261282089937,0.13466685482920496,-0.20075687642954754,209,124,16,0.960960960960961,False,0.0
DONCH,XAU_USD,forex,0.29315209833441846,1.908939293047659,1.0499210385721707,0.6558614279733956,0.03230933315366947,0.35060347622907434,0.1508332783228893,-0.19223959919380895,209,124,4,0.7177177177177178,False,0.0
ZREV,XAU_USD,forex,-0.2253677382649709,1.0275923512185388,0.47100868385045297,0.03618478230698321,-0.0048135649678177515,0.05474261008061861,0.01736350922439279,-0.03895168715505437,209,124,16,0.05105105105105105,False,0.0
RSI_MA,XAU_USD,forex,-0.17334951213524377,1.8970756219483333,0.8708418907997871,0.42993177065859994,-0.011542236242579034,0.24454686903537404,0.08381827142849059,-0.13526216964302762,209,124,32,0.33633633633633636,False,0.0
XSMOM,XAU_USD,forex,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209,124,1,0.0,False,0.0
EXHAUST,XAU_USD,forex,0.5236841884837388,0.1924749032612204,0.3563896472314546,0.0,0.011594516636324659,0.00660640617011987,0.00973708210836852,-0.043705028031059245,209,124,3,0.018018018018018018,True,2.2583269527730017
CALENDAR,XAU_USD,forex,0.2064472354187002,2.4245418364921973,1.064891258524843,0.6460047558169089,0.018799521781246605,0.24136799439656176,0.10167787194430691,-0.09195431821262845,209,124,77,0.3183183183183183,False,0.0
MOM12,SPX500_USD,index,0.1274871820982224,0.7871960656976313,0.34296039677708523,-0.40623510161131876,0.022941834881298372,0.11710273121746359,0.05800475123470523,-0.21681059415897908,209,124,14,0.960960960960961,False,0.0
DONCH,SPX500_USD,index,0.562553793155409,1.481365752853169,0.8834776783425046,-1.9330627628493422,0.06628787883806772,0.15954114592068536,0.1010128191330965,-0.24351617071061094,209,124,6,0.7087087087087087,True,0.42432628937309297
ZREV,SPX500_USD,index,0.20148492519247962,0.37772004250485886,0.2749152659697234,0.35741037053729807,0.009444825832541866,0.022211273724903616,0.014198698320988886,-0.060592682357362815,209,124,12,0.04804804804804805,False,0.0
RSI_MA,SPX500_USD,index,-0.00020098665228254696,0.8479497495983905,0.3031663254241577,-1.2103958721425074,-1.4344826109611777e-05,0.05697152327332694,0.021205618069776666,-0.10332683543752996,209,124,45,0.37537537537537535,False,0.0
XSMOM,SPX500_USD,index,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209,124,1,0.0,False,0.0
EXHAUST,SPX500_USD,index,0.5008526383923873,-0.6572298599226042,-0.027858732809892105,0.0,0.003779558072426516,-0.007035053458294222,-0.0002475044795535785,-0.016716342309001098,209,124,1,0.006006006006006006,False,0.0
CALENDAR,SPX500_USD,index,0.46030979771671615,0.7222490961068547,0.5460619201504945,-0.47480304836656084,0.055406841289158966,0.07349681109606283,0.06214304626230035,-0.1592978226960785,209,124,77,0.3183183183183183,True,0.41539075952230964
